,Date,Open,High,Low,Close,Adj Close,Volume,bb_bbm,bb_bbh,bb_bbl,atr,macd,cci,ema,roc,sma12,sma5,stochastic_oscillator,mtm6,mtm12
3060,2012-03-02,77.748573,78.114288,77.502853,77.882858,67.42298100000001,107928100,72.35542865,79.55440652676516,65.15645077323482,1.3546775485637628,3.621329767591561,131.21513714457345,74.20302959078975,7.011347994110298,74.54702374999998,76.95028659999993,95.07960653584986,5.575248972831048,7.011347994110298
3061,2012-03-05,77.91714499999999,78.211426,75.14286,76.165718,65.93647,202281100,72.88028599999998,79.56491235145974,66.19565964854023,1.47709815223778,3.46380589446386,92.79190851252422,74.46472137868446,7.131241714426352,74.96952433333331,77.16171539999993,75.56031265608758,2.0577797959713107,7.131241714426352
3062,2012-03-06,74.808571,76.24143199999999,73.745712,75.751427,65.577812,202559700,73.3537861,79.41407626704166,67.29349593295832,1.5498568556493666,3.2678673284012802,55.12444538287768,74.6362821281932,5.585310306105777,75.30345274999998,77.01457199999994,70.8509309046052,0.8558982893218054,5.585310306105777
3063,2012-03-07,76.685715,76.825714,74.757141,75.812859,65.630989,199630200,73.79564324999998,79.18262925426225,68.40865724573771,1.5869080088172691,3.082014111931713,62.39285221651209,74.7931590444341,5.689875414445244,75.64357183333331,76.67885739999994,71.54924860824117,-0.8815664499121547,5.689875414445244
3064,2012-03-08,76.38428499999999,77.57,76.017143,77.427139,67.028465,129114300,74.26214294999998,79.1908452279957,69.33344067200427,1.5990675081874635,3.030054422538967,89.15285670972125,75.14435637184289,5.271428744877132,75.96666649999997,76.60800019999995,87.01729793795805,-0.08296788217824155,5.271428744877132
3065,2012-03-09,77.744286,78.248573,77.58714300000001,77.88143199999999,67.421776,104729800,74.63357164999998,79.4769164970882,69.79022680291176,1.5435222576026444,2.991054626888925,107.39242661039276,75.5092997889305,6.262675083912943,76.34916683333331,76.60771499999996,93.10510053950325,0.12857439935047585,6.262675083912943
3066,2012-03-12,78.425713,78.85714,78.14286,78.85714,68.266411,101820600,75.05200009999997,79.83626176513312,70.26773843486683,1.5029640963453137,3.0042473952327526,118.4830723559697,75.95567848373977,6.895951208998961,76.77309541666664,77.14599939999997,100.00000000000001,1.250958201867736,6.895951208998961
3067,2012-03-13,79.648575,81.168571,79.39286,81.157143,70.25750699999999,172713800,75.51985709999997,80.74987200713636,70.28984219286357,1.5607117323206483,3.163823194986648,160.32801533444118,76.6492070859078,8.746008659225863,77.31702424999997,78.22714259999995,99.86367417890182,6.553374839845935,8.746008659225863
3068,2012-03-14,82.578575,84.959999,82.199997,84.225716,72.913986,354711000,76.09214294999995,82.39293995578761,69.7913459442123,1.7208648942977443,3.497578454680024,218.7976783774455,77.65940827445344,12.138616824225688,78.07678608333332,79.90971399999997,93.45225425388176,11.186969454714033,12.138616824225688
3069,2012-03-15,85.658569,85.715714,82.650002,83.65142800000001,72.41681700000001,289929500,76.71992879999996,83.39520214732711,70.04465545267281,1.8169254018479057,3.673397026181334,190.95521953692972,78.45834423785965,9.366651211346065,78.67380974999998,81.15457179999996,82.75450580542932,10.339366043430715,9.366651211346065
3070,2012-03-16,83.531425,84.171425,82.571426,83.652855,72.418053,206371900,77.31535724999995,84.22931581145731,70.40139868854259,1.8014306588587694,3.7693983796233113,155.9827310740108,79.1509456728117,7.951102258634238,79.18726166666664,82.30885639999997,82.7664272737799,8.04074137364162,7.951102258634238
3071,2012-03-19,85.48143,85.96714,84.150002,85.871429,74.338669,225309000,78.02235719999996,85.38500966524104,70.65970473475888,1.8380631117974287,3.9786372704439827,172.64581210605272,80.04701011643681,10.400945984211535,79.86142866666664,83.71171419999997,99.21685911008113,10.259180904634647,10.400945984211535
3072,2012-03-20,85.644287,86.699997,84.497147,86.565712,74.939705,204165500,78.67314264999996,86.61744603959171,70.72883926040821,1.8641193180976123,4.15261467754911,153.05631081703527,80.91617036757857,11.148607309711215,80.58499983333331,84.79342799999998,98.96339319383516,9.775363397658099,11.148607309711215
3073,2012-03-21,86.105713,87.092857,85.915718,86.071426,74.51181,161010500,79.31214254999995,87.47504777103806,71.14923732896183,1.8150492953763542,4.202168296477083,135.4937833653153,81.60353778523476,13.005467893048687,81.41047549999998,85.16256999999996,92.34719484953528,6.055268604021704,13.005467893048687
3074,2012-03-22,85.397141,86.35714,85.075714,85.620003,74.12101700000001,155967700,79.90464284999995,88.09265484666366,71.71663085333623,1.7769333457066143,4.157093447529178,106.40116583495275,82.1390664805368,13.02757768510419,82.23285683333332,85.55628499999996,88.96502585384366,1.6554172124817454,13.02757768510419
3075,2012-03-23,85.784286,85.971428,84.914284,85.150002,73.714111,107622200,80.43064309999995,88.54699795667189,72.31428824332802,1.7255198210132854,4.0369111533673845,88.91003721929332,82.54052454979856,12.316041266825192,83.01095208333331,85.85571439999995,85.44366604243832,1.7914505894627293,12.316041266825192
3076,2012-03-26,85.684288,86.735718,85.03714000000001,86.711426,75.065872,148935500,81.01078569999996,89.181080509885,72.8404908901149,1.723595405226622,4.021304590666617,92.10483988949034,83.09664474315876,11.990998401736123,83.78464266666664,86.02371379999995,96.90791357388585,3.6562661250473765,11.990998401736123
3077,2012-03-27,86.597145,88.040001,86.58000200000001,87.78286,75.993385,151782400,81.57557149999995,89.9754117663298,73.1757312336701,1.7047670905675774,4.048720912303736,102.3732489647376,83.72147344407092,12.713464231114822,84.60976166666663,86.26714339999995,97.86123232928473,2.225921965267392,12.713464231114822
3078,2012-03-28,88.339996,88.778572,87.187141,88.23143,76.381721,163865100,82.11257139999995,90.76866129745184,73.45648150254806,1.696671655527036,4.05984502854588,101.42023387219449,84.32280098486147,11.887687024916199,85.39095249999995,86.69914419999995,95.11106222449344,1.924223761943988,11.887687024916199
3079,2012-03-29,87.540001,88.08000200000001,86.747147,87.122856,75.422028,152059600,82.57964294999996,91.258588364533,73.90069753546693,1.6815010372751051,3.933861210461572,81.86348238030422,84.69614165354662,7.350816920699136,85.88809524999995,86.99971479999995,84.43248557313325,1.2215784597318002,7.350816920699136
3080,2012-03-30,86.96714,87.22285500000001,85.41999799999999,85.650002,74.146996,182759500,82.96800014999997,91.46472136557193,74.471278934428,1.6901693203268846,3.67283298591731,56.99555639610189,84.82332303307373,1.6910346004063592,86.00678574999996,87.09971479999994,66.66667376966183,0.03503737321756887,1.6910346004063592
3081,2012-04-02,85.975716,88.395714,85.76857,88.37571700000001,76.50663,149587900,83.57850009999996,91.78202997900105,75.37497022099886,1.7655652260178214,3.643904001036006,78.30997770048413,85.29697556199724,5.647589184012493,86.40047649999997,87.43257299999995,93.8762573961688,3.7882735457833676,5.647589184012493
3082,2012-04-03,89.614288,90.315712,88.93,89.902855,77.82866700000001,208639900,84.28607149999996,92.09901919270558,76.47312380729434,1.7780244955879767,3.7015358447781637,117.9909697200335,85.91109282039761,7.471352890466202,86.9213098333333,87.85657199999994,94.66888232175307,3.6805172596285054,7.471352890466202
3083,2012-04-04,89.192856,89.408569,88.14286,89.187141,77.209068,143245200,84.95478559999997,92.0044996292024,77.90507157079753,1.77673667447455,3.6474122597353755,98.90349668543746,86.3478992443446,3.861251685936181,87.19761916666663,88.04771419999994,85.4270490526821,1.5997211756372456,3.861251685936181
