,date,open,close,low,high,volume,bb_bbm,bb_bbh,bb_bbl,atr,macd,cci,ema,roc,sma12,sma5,stochastic_oscillator,mtm6,mtm12
2252,12/30/08,12.5429,12.3371,12.1318,12.7129,0,13.1145,14.46358193,11.76541807,0.700107808,-0.373103777,-86.84617393,12.72392657,-8.128174195,12.76320833,12.306,10.26622438,-4.034008261,-8.128174195
2253,12/31/08,12.4286,12.2129,12.1686,12.5286,0,13.06443,14.46820297,11.66065703,0.675814393,-0.381244217,-88.80054374,12.6557897,-13.35726498,12.60630833,12.28086,4.984264693,-0.67340615,-13.35726498
2254,1/2/09,12.2786,12.9214,12.1929,12.9943,0,13.02693,14.40365167,11.65020833,0.684784794,-0.326758873,-39.42446291,12.6912044,-4.488269296,12.55570833,12.434,40.61685277,4.723388391,-4.488269296
2255,1/5/09,12.9943,13.5114,12.8443,13.7365,0,13.051785,14.44455268,11.65901732,0.699600166,-0.233281651,34.2518431,12.80056382,1.764692591,12.57523333,12.67914,72.86530444,11.15279252,1.764692591
2256,1/6/09,13.57,13.2271,13.1429,13.8731,0,13.04314,14.42928544,11.65699456,0.701785868,-0.180065233,37.93856539,12.85743531,3.847029544,12.61606667,12.84198,63.65477664,7.662567049,3.847029544
2257,1/7/09,13.15,13.0257,12.8943,13.21,0,12.990495,14.29277705,11.68821295,0.675429735,-0.152385529,2.978295603,12.8798706,1.457324007,12.63165833,12.9797,52.32361877,4.93679962,1.457324007
2258,1/8/09,12.8643,13.2786,12.8571,13.29,0,12.938925,14.10240379,11.77544621,0.658106182,-0.108788206,24.99979758,12.93303452,3.289591387,12.6669,13.19284,66.55226736,7.631453097,3.289591387
2259,1/9/09,13.25,12.9457,12.88,13.4143,0,12.885495,13.93952856,11.83146144,0.649262883,-0.099947132,26.37225005,12.93472325,5.286400937,12.72106667,13.1977,47.82266232,6.00021289,5.286400937
2260,1/12/09,12.94,12.6471,12.5271,12.9986,0,12.84642,13.87464816,11.81819184,0.636565535,-0.115701309,-22.58239367,12.89637348,2.500283663,12.746775,13.02484,31.02284235,-2.122834987,2.500283663
2261,1/13/09,12.6114,12.5543,12.344,12.7957,0,12.76935,13.6286641,11.9100359,0.623360854,-0.134128641,-43.21094891,12.85076369,3.279120084,12.77999167,12.89028,25.80173287,-7.083647883,3.279120084
2262,1/14/09,12.45,11.3286,10.9343,12.4571,0,12.65935,13.6542775,11.6644225,0.694549364,-0.244814116,-201.5345747,12.64780853,-7.790357896,12.70023333,12.55086,13.41704097,-14.35310839,-7.790357896
2263,1/15/09,11.36,11.9643,11.1929,12.0143,0,12.59371,13.59017484,11.59724516,0.703610124,-0.27803249,-152.6648089,12.55667406,-3.613982228,12.66285,12.288,35.04831904,-8.148506414,-3.613982228
2264,1/16/09,12.1343,11.7571,11.4957,12.1343,0,12.54471,13.60263688,11.48678312,0.698966543,-0.317418595,-124.0173374,12.45006418,-4.70126691,12.61451667,12.05028,27.99782224,-11.45828627,-4.70126691
2265,1/20/09,11.6014,11.32,11.1714,11.6957,0,12.46878,13.6430272,11.2945328,0.690876076,-0.379527724,-162.400799,12.29938896,-7.311121847,12.54010833,11.78486,13.12440452,-12.55783774,-7.311121847
2266,1/21/09,11.35,12.9571,11.2957,13.1514,0,12.47385,13.6555875,11.2921125,0.774077785,-0.293268749,-0.233442706,12.38708376,0.276285851,12.54308333,11.86542,68.8308153,2.45115481,0.276285851
2267,1/22/09,12.8543,12.5629,12.2971,12.9414,0,12.48721,13.66662853,11.30779147,0.765929372,-0.253790991,18.95364539,12.41052593,-7.019997928,12.46404167,12.11228,55.41717708,0.068502425,-7.019997928
2268,1/23/09,12.4643,12.6,12.3586,12.8229,0,12.50028,13.67861446,11.32194554,0.744384417,-0.217009374,16.30120427,12.43578914,-4.74102411,12.41178333,12.23942,56.67959711,11.22292251,-4.74102411
2269,1/26/09,12.75,12.7857,12.6,12.9929,0,12.53178,13.70525728,11.35830272,0.719278387,-0.170905152,42.4143573,12.48244392,-1.842511343,12.39178333,12.44514,62.99850279,6.865424638,-1.842511343
2270,1/27/09,12.8486,13.0443,12.7929,13.0729,0,12.56971,13.7578676,11.3815524,0.688415645,-0.112206913,63.75774337,12.55735806,-1.764493245,12.37225833,12.79,85.08064516,10.94827806,-1.764493245
2271,1/28/09,13.0643,13.3929,13.0643,13.5671,0,12.61871,13.8567427,11.3806773,0.676585956,-0.037131006,107.9590059,12.66876366,3.454428884,12.409525,12.87716,93.38347007,18.31183746,3.454428884
2272,1/29/09,13.2386,13.4157,13.2286,13.4643,0,12.67264,13.95024281,11.39503719,0.645094102,0.023931098,99.88250027,12.76835517,6.077282539,12.473575,13.04772,94.24946825,3.539372236,6.077282539
2273,1/30/09,13.2157,12.9043,12.8571,13.3629,0,12.70721,13.97051903,11.44390097,0.638915952,0.030703617,49.855523,12.78648115,2.787889408,12.50274167,13.10858,74.82528107,2.717525412,2.787889408
2274,2/2/09,12.7729,13.05,12.6429,13.1386,0,12.71364,13.98254104,11.44473896,0.628686241,0.047282615,33.83066839,12.82161699,15.19516975,12.64619167,13.16144,80.35931328,3.571428571,15.19516975
2275,2/3/09,13.0714,13.2414,12.9314,13.3329,0,12.70014,13.94022176,11.46005824,0.612458652,0.075001401,67.06829828,12.87758806,10.67425591,12.75261667,13.20086,87.62914008,3.56413806,10.67425591
2276,2/4/09,13.1871,13.2486,13.0971,13.7486,0,12.701215,13.94315802,11.45927198,0.61524732,0.096438041,95.15395546,12.92705632,12.68595147,12.87690833,13.172,80.5990998,1.566201329,12.68595147
